Rang	Ort	Kanton	Steuersatz
552	Hunzenschwil	AG	13.03
553	Killwangen	AG	13.03
554	Rothrist	AG	13.03
555	Buchberg	SH	13.04
556	Rain	LU	13.04
557	Wängi	TG	13.04
558	Wilen (TG)	TG	13.04
559	Haldenstein	GR	13.05
560	Au (SG)	SG	13.06
561	Zuzwil (SG)	SG	13.06
562	Udligenswil	LU	13.08
563	Berlingen	TG	13.09
564	Delley-Portalban	FR	13.09
565	Fislisbach	AG	13.09
566	Müllheim	TG	13.09
567	Sins	AG	13.09
568	Würenlos	AG	13.09
569	Lohn (SH)	SH	13.10
570	Bad Ragaz	SG	13.12
571	Widnau	SG	13.12
572	Meyriez	FR	13.13
573	Acquarossa	TI	13.14
574	Alto Malcantone	TI	13.14
575	Aranno	TI	13.14
576	Arogno	TI	13.14
577	Avegno Gordevio	TI	13.14
578	Bellinzona	TI	13.14
579	Biasca	TI	13.14
580	Böttstein	AG	13.14
581	Breggia	TI	13.14
582	Cademario	TI	13.14
583	Capriasca	TI	13.14
584	Lodrino	TI	13.14
585	Maggia	TI	13.14
586	Pollegio	TI	13.14
587	Pura	TI	13.14
588	Quinto	TI	13.14
589	Rottenschwil	AG	13.14
590	Sant'Antonio	TI	13.14
591	Schlatt (TG)	TG	13.14
592	Serravalle	TI	13.14
593	Sirnach	TG	13.14
594	Stettfurt	TG	13.14
595	Terre di Pedemonte	TI	13.14
596	Waltenschwil	AG	13.14
597	Beromünster	LU	13.15
598	Buchrain	LU	13.15
599	Kriens	LU	13.15
600	Andeer	GR	13.17
601	Castaneda	GR	13.17
602	Jenins	GR	13.17
603	Kemmental	TG	13.17
604	Tujetsch	GR	13.17
605	Aadorf	TG	13.18
606	Auboranges	FR	13.18
607	Felben-Wellhausen	TG	13.18
608	Luzein	GR	13.19
609	Ehrendingen	AG	13.20
610	Lenzburg	AG	13.20
611	Mellingen	AG	13.20
612	Seon	AG	13.20
613	Martigny-Combe	VS	13.21
614	Berg (TG)	TG	13.23
615	Bettwiesen	TG	13.23
616	Zihlschlacht-Sitterdorf	TG	13.23
617	Untervaz	GR	13.24
618	Wolfhalden	AR	13.24
619	Egolzwil	LU	13.25
620	Greppen	LU	13.25
621	Hägglingen	AG	13.25
622	Künten	AG	13.25
623	Muhen	AG	13.25
624	Safenwil	AG	13.25
625	Schinznach	AG	13.25
626	Brig-Glis	VS	13.26
627	Bichelsee-Balterswil	TG	13.27
628	Cresciano	TI	13.27
629	Sulgen	TG	13.27
630	Felsberg	GR	13.30
631	Poschiavo	GR	13.30
632	Splügen	GR	13.30
